Transaction_ID,Transaction_Date,Customer_Name,City,Account_Type,Transaction_Type,Channel,Status,Amount,Fee,Balance,Credit_Score,Customer_Age,Risk_Score,Email
5001,2025-10-10,Michelle Bradley,Seattle,CHECKING ,Deposit,Branch,PENDING,399.54,0.0,12622.15,591.0,68,0.19,
5002,2025-07-17,Terri Nguyen,DALLAS ,Loan,Withdrawal,ATM,PENDING,6751.91,0.0,40566.81,523.0,69,0.78,ipalmer@example
5003,2025-06-20,Christopher Mccormick,Chicago,Credit,Deposit,Mobile,Pending,10952.73,5.0,,713.0,26,0.57,crystaldaniels@example.com
5004,2026-03-14,Jesse Davis,Atlanta,Savings,Transfer,Online,Failed,4187.65,10.0,41788.47,603.0,44,0.4,amandabryant@example.com
5005,2025-05-24,Brandy Hamilton,Atlanta,CHECKING ,payment ,Online,completed ,8365.32,10.0,16552.0,548.0,35,0.8,ssmith@example.net
5006,2025-10-13,Brittney Edwards DVM,New York,Checking,Payment,Branch,Pending,2115.96,10.0,28287.72,654.0,68,0.6,matthewdoyle@example.com
5007,2025-10-23,Steven Jordan,Chicago,CHECKING ,Transfer,Mobile,Failed,8956.23,2.5,19390.15,759.0,54,0.31,christopher91@example.net
5008,2025-04-24,  WALTER GONZALEZ  ,Dallas,Loan,Withdrawal,mobile ,PENDING,6819.51,10.0,43854.72,654.0,53,0.75,rachel04@example.org
5009,10/20/2025,Elizabeth Hicks,Dallas,Savings,Fee,Branch,completed ,4879.24,0.0,6037.45,705.0,40,0.3,harrischristopher@example
5010,2025-07-08,Thomas Mccormick,Dallas, savings,Withdrawal,Branch,Completed,3994.22,15.0,30526.4,628.0,55,0.74,iwelch@example.net
5011,03/26/2025,  NATHANIEL ANDERSON  ,Seattle,Credit,Deposit,Branch,PENDING,8834.92,0.0,29627.79,523.0,25,0.7,mharper@example
5012,2025-05-09,Bridget Young,Atlanta, savings,Transfer,BRANCH,Failed,3663.88,2.5,40471.1,617.0,27,0.18,sotomichelle@example.net
5013,06/20/2025,Albert Gross,DALLAS ,Savings,Withdrawal,Mobile,Completed,2894.06,5.0,22706.37,736.0,32,0.34,annettestuart@example.com
5014,09/05/2025,Dylan Smith,DALLAS ,Checking,Withdrawal,mobile ,completed ,6111.05,2.5,11080.49,725.0,24,0.24,misty53@example.org
5015,05/30/2025,James Middleton,Dallas,Checking,Withdrawal,Mobile,PENDING,4468.2,0.0,29169.42,797.0,24,0.74,william87@example.com
5016,05/17/2025,  SAMANTHA ZUNIGA  ,Chicago,Savings,payment ,Branch,Failed,12930.74,2.5,6434.39,811.0,36,0.59,marshalljennifer@example.net
5017,2025-10-13,Kristopher Wagner,Dallas,Loan,Withdrawal,ATM,Failed,10083.56,0.0,23132.62,557.0,21,0.49,ejackson@example.org
5018,2025-03-24,Mrs. Holly Jones,Dallas,Checking,Transfer,ATM,Failed,12510.33,10.0,15474.6,790.0,21,0.67,fisherkeith@example.net
5019,2025-11-09,Christopher Allen, new york, savings,Withdrawal,ATM,Pending,10771.24,0.0,,655.0,53,0.52,robintodd@example
5020,2025-03-26,  SARAH ROBLES  ,Chicago,CHECKING ,Transfer,Mobile,Failed,8286.41,2.5,28264.89,577.0,25,0.9,jamie68@example
5021,2026-02-23,Richard Hall,Dallas,Checking,payment ,BRANCH,Failed,3761.71,0.0,18007.09,806.0,47,0.93,ahaynes@example.net
5022,2025-08-04,Dr. Melanie Brown,Dallas,Loan,payment ,Branch,Completed,12964.36,15.0,12784.28,601.0,65,0.19,uschmidt@example.com
5023,2026-02-09,Stephen Hahn,Chicago,CHECKING ,Withdrawal,Mobile,Completed,5992.03,0.0,43285.47,662.0,43,0.65,castrobeth@example.org
5024,2025-05-04,Megan Stephenson, new york, savings,Transfer,BRANCH,Pending,5201.66,15.0,16027.03,830.0,53,0.2,cmartin@example.org
5025,04/01/2025,Timothy Eaton,Dallas,Credit,Transfer,Online,completed ,1072.86,10.0,46078.16,839.0,41,0.66,kenneth19@example.net
5026,2025-04-18,Heather Odonnell,Seattle,CHECKING ,payment ,Online,Pending,13544.51,5.0,28670.71,727.0,56,0.81,khuang@example.org
5027,2025-09-14,Jennifer Oconnell,DALLAS ,CHECKING ,Deposit,Mobile,completed ,,10.0,31830.57,691.0,26,0.8,lindamorrison@example.org
5028,2025-10-03,  CORY MALONE  , new york,Loan,payment ,mobile ,completed ,8645.67,10.0,34969.54,773.0,46,0.31,xsmith@example.net
5029,2025-07-16,Ryan Chavez,DALLAS ,Savings,Fee,mobile ,completed ,3756.74,15.0,6507.25,588.0,50,0.67,sheanathan@example.com
5030,2025-11-27,Brian Moore,Seattle,Checking,payment ,Mobile,Pending,12925.89,2.5,13329.98,646.0,61,0.34,powelltimothy@example.com
5031,2025-04-18,Steven Boyle,DALLAS ,Checking,Withdrawal,mobile ,completed ,5760.95,0.0,35467.75,552.0,47,0.45,williamskevin@example.com
5032,2025-04-30,Gina Thomas, new york,Loan,Deposit,Online,Pending,14142.56,0.0,,734.0,55,0.74,hbooth@example.net
5033,01/01/2026,Adrian Perez,Chicago,Loan,Withdrawal,ATM,completed ,,5.0,1834.84,721.0,58,0.58,gonzalessean@example.org
5034,2025-06-26,Rachel Alvarado MD,New York,Credit,Transfer,mobile ,Pending,3802.77,0.0,23780.19,796.0,24,0.95,steven31@example.org
5035,2025-03-19,George Maddox,New York,Checking,Withdrawal,mobile ,Completed,7116.58,0.0,28416.49,631.0,50,0.69,wsmith@example.org
5036,2025-04-11,Angela Ramirez,Seattle,Credit,Fee,Mobile,Failed,10168.28,2.5,20134.39,621.0,25,0.6,charlesfleming@example.org
5037,2026-01-28,  DOUGLAS RICHARDS  , new york, savings,Transfer,mobile ,Failed,9931.28,0.0,25545.06,694.0,21,0.82,charles45@example.org
5038,10/10/2025,Peter Jones,Chicago, savings,Fee,Mobile,completed ,11625.26,2.5,22060.94,823.0,38,0.37,keithcameron@example.net
5039,2025-04-26,Fernando Kelly,DALLAS ,Credit,Withdrawal,Branch,completed ,7326.06,0.0,39992.7,694.0,38,0.85,copelandbrittany@example.org
5040,12/31/2025,Jonathan Ramos,Chicago,CHECKING ,payment ,BRANCH,completed ,7375.05,15.0,1353.54,670.0,35,0.44,clayton02@example.net
5041,2026-02-01,Douglas Brown,Seattle,Credit,Payment,ATM,Completed,3789.77,0.0,36203.57,681.0,28,0.73,mrobertson@example.net
5042,2025-04-24,Penny Ramsey,Seattle,Checking,Payment,ATM,completed ,3431.56,0.0,15462.25,793.0,29,0.33,csanders@example.com
5043,2026-02-21,  JON MONTOYA  ,Dallas,Loan,Transfer,Mobile,PENDING,5127.07,0.0,12997.68,764.0,28,0.8,
5044,2026-02-18,Karen Chen,DALLAS ,Loan,Fee,Branch,Pending,8952.0,5.0,11671.51,787.0,45,0.48,john92@example.org
5045,2025-10-21,John Dean, new york,Credit,payment ,Branch,Failed,1240.78,0.0,9103.77,558.0,31,0.1,stephanie80@example.org
5046,2025-09-19,Sara Lewis,Chicago,CHECKING ,Fee,Online,Completed,9926.22,0.0,21544.38,798.0,35,0.65,murphyamy@example.org
5047,09/12/2025,  ANDRE MYERS  ,DALLAS ,Loan,payment ,mobile ,PENDING,4578.77,2.5,47162.47,776.0,55,0.52,hgonzalez@example.com
5048,2025-07-13,Shaun Chapman,Atlanta,Savings,payment ,ATM,Failed,12325.78,5.0,2491.47,609.0,51,0.54,lambdarlene@example.org
5049,2025-06-09,Jeffrey Fernandez,DALLAS ,CHECKING ,Deposit,mobile ,Completed,12869.55,0.0,20876.43,773.0,39,0.66,middletonapril@example.net
5050,2026-03-07,Philip Hickman,New York,CHECKING ,Fee,Mobile,PENDING,6943.1,0.0,9785.34,705.0,60,0.74,julia21@example.com
5051,2025-04-12,  RICHARD HAYS  , new york,Checking,payment ,ATM,completed ,2396.71,5.0,1176.89,728.0,26,0.29,watsonmark@example.org
5052,2025-06-19,Jordan Martin,DALLAS ,Loan,Transfer,Mobile,Failed,3674.87,5.0,7659.78,617.0,59,0.53,sandra21@example.net
5053,2025-10-31,Brett Martin,Dallas,CHECKING ,Payment,mobile ,completed ,12566.2,5.0,49945.67,770.0,30,0.48,martinmark@example.org
5054,2025-10-07,Jacqueline Powers,New York,Checking,Transfer,Online,Completed,678.62,10.0,23912.32,715.0,45,0.94,lynnbell@example.net
5055,2025-09-21,Curtis Powell,Atlanta, savings,Transfer,ATM,completed ,254.83,0.0,20793.94,599.0,25,0.5,ulucero@example.com
5056,2025-11-30,  KIMBERLY GARRETT  ,New York, savings,Deposit,ATM,Completed,9271.46,0.0,31742.47,667.0,35,0.73,mgarcia@example.org
5057,07/19/2025,Claudia Allen,Dallas,Credit,Payment,Online,Failed,5638.25,0.0,12587.77,730.0,57,0.68,smithmary@example.net
5058,05/05/2025,Patrick Mullins,Chicago,Loan,Payment,Branch,completed ,10010.94,15.0,23530.04,667.0,64,0.56,gregory90@example.org
5059,2025-06-17,Nicole Woods,Seattle,Loan,Deposit,BRANCH,completed ,3577.16,5.0,18268.48,671.0,65,0.35,jorge53@example.com
5060,2025-12-27,David Roman,DALLAS ,Credit,Withdrawal,Online,Completed,9115.8,0.0,11340.72,,60,0.31,stephen80@example.com
5061,09/23/2025,Chelsea Robertson,DALLAS , savings,Payment,Online,Failed,10992.09,0.0,45526.58,687.0,68,0.45,zacharybarajas@example.net
5062,2025-07-11,Lawrence Harris,New York,CHECKING ,Payment,ATM,PENDING,12068.38,2.5,48163.22,592.0,69,0.92,melissa79@example.net
5063,2025-07-21,  ANTHONY WELCH  ,Dallas,Savings,Transfer,BRANCH,Completed,5544.57,10.0,33780.87,819.0,45,0.8,
5064,02/06/2026,Jeffrey Hamilton, new york,CHECKING ,Transfer,BRANCH,PENDING,13643.08,0.0,32637.35,579.0,29,0.14,ujones@example.net
5065,2025-08-09,Jeffrey Cochran, new york,Loan,Fee,ATM,PENDING,11140.48,0.0,44327.98,570.0,52,0.62,micheal43@example.com
5066,10/08/2025,Amy Fleming,Dallas,CHECKING ,Payment,Mobile,PENDING,931.74,0.0,9895.52,582.0,50,0.18,
5067,2025-04-27,  KATHY MULLINS  ,New York,Checking,Fee,ATM,Pending,3258.87,15.0,12033.43,,59,0.1,martinezsherry@example.org
5068,05/16/2025,Timothy Martin, new york, savings,Payment,BRANCH,PENDING,261.32,0.0,3093.75,735.0,54,0.2,charles48@example.org
5069,07/14/2025,Darius Shelton,Seattle,Credit,Transfer,BRANCH,PENDING,9659.03,0.0,3510.86,765.0,46,0.46,bradyrandall@example.org
5070,10/10/2025,Lance Stone,Atlanta, savings,payment ,Branch,completed ,4894.65,5.0,26762.56,752.0,53,0.61,qwhite@example.net
5071,2025-09-12,Alicia Campbell, new york,Credit,Transfer,ATM,Pending,5995.98,10.0,5206.75,738.0,41,0.67,joshuaduran@example.org
5072,2025-03-18,Scott Townsend,Seattle, savings,Deposit,mobile ,Pending,8807.31,5.0,28303.33,582.0,47,0.4,lori75@example.com
5073,2025-05-29,Ronald Warner,Seattle,Checking,payment ,Mobile,PENDING,7245.79,15.0,5856.81,804.0,44,0.2,danieljackson@example.com
5074,11/09/2025,  SANDRA TREVINO  ,Seattle,CHECKING ,payment ,Branch,completed ,4030.03,0.0,14026.88,678.0,42,0.4,velasquezjeanette@example.org
5075,2025-05-26,Christopher Elliott,Atlanta,Loan,Transfer,Online,PENDING,,0.0,15926.05,686.0,70,0.9,johnsonregina@example
5076,2026-01-07,Keith Carson,Dallas,Loan,Transfer,ATM,Pending,4115.67,15.0,25861.14,696.0,48,0.19,kevinfrost@example.net
5077,2026-03-18,Joel Blake,Atlanta,Checking,Payment,Mobile,completed ,4359.47,0.0,882.63,740.0,32,0.21,josephbrittany@example.net
5078,2025-07-06,Joseph King,Atlanta,Savings,Payment,Mobile,Pending,8646.99,5.0,20518.93,847.0,47,0.35,transarah@example.org
5079,2025-10-07,Veronica Campbell, new york,Loan,Fee,BRANCH,Pending,6021.74,0.0,20090.45,678.0,68,0.39,wilsonstephen@example.net
5080,02/24/2026,Leslie Harper,Seattle,Checking,Deposit,BRANCH,PENDING,2218.0,0.0,9088.2,598.0,69,0.75,athompson@example.org
5081,2025-11-22,  ELIZABETH PADILLA  ,New York,Credit,payment ,BRANCH,Completed,4759.18,2.5,3880.17,746.0,61,0.36,christopherrogers@example.org
5082,2026-03-03,Jason Morales,DALLAS , savings,Fee,ATM,Completed,7618.34,2.5,29226.31,541.0,49,0.87,smithrichard@example.com
5083,06/12/2025,Timothy Taylor, new york, savings,payment ,ATM,Completed,2609.07,0.0,35527.27,744.0,54,0.54,andrew78@example.com
5084,2025-09-17,  EARL HARRIS  ,New York,Credit,Deposit,ATM,PENDING,8380.5,2.5,14565.28,828.0,30,0.38,william03@example.net
5085,2025-12-26,Tammy Anderson MD,Dallas,Loan,payment ,Branch,Pending,11880.14,15.0,6825.79,789.0,26,0.65,pmeyer@example.net
5086,12/25/2025,George Martinez,DALLAS ,Savings,Payment,mobile ,Pending,12670.32,0.0,25630.64,796.0,68,0.85,james20@example.org
5087,2025-12-18,Tanya Gallegos,Dallas,CHECKING ,Transfer,ATM,PENDING,679.29,0.0,33979.96,641.0,49,0.62,alvarezdavid@example.org
5088,2025-10-23,Jody Foster,New York,Loan,Transfer,BRANCH,PENDING,11547.34,15.0,19402.69,790.0,47,0.92,matthew14@example.org
5089,10/20/2025,Sean Johnson,Chicago,Savings,Payment,Branch,completed ,1281.03,0.0,14003.17,782.0,30,0.81,lewisjennifer@example.com
5090,2025-08-09,Jonathan Anderson,New York,Savings,Payment,Mobile,Failed,3387.47,0.0,46575.88,,30,0.22,william08@example.com
5091,05/16/2025,  KATELYN FISCHER  ,Atlanta,Checking,Withdrawal,mobile ,PENDING,8243.34,10.0,30639.56,736.0,28,0.76,kmora@example.org
5092,2026-02-14,Edwin Everett,Seattle,Savings,payment ,mobile ,PENDING,7742.75,0.0,36067.94,669.0,48,0.1,robert53@example.net
5093,05/20/2025,Geoffrey Krueger,Chicago, savings,Deposit,Branch,Completed,5872.04,2.5,2654.95,718.0,44,0.32,weissbrian@example.com
5094,03/12/2026,  MICHELLE JORDAN  ,New York,Credit,Fee,ATM,Failed,,10.0,9166.91,757.0,65,0.51,nancyjohnson@example.net
5095,2025-11-16,Karen Bean,Atlanta, savings,Transfer,BRANCH,completed ,14837.11,5.0,23933.29,538.0,69,0.65,teresarobinson@example.org
5096,02/20/2026,Christina Porter,Chicago,Loan,Payment,BRANCH,Failed,14606.51,2.5,34757.39,708.0,54,0.33,andrewparsons@example.net
5097,2026-01-04,Tyler Powell, new york,Credit,Transfer,BRANCH,completed ,9049.26,2.5,8748.92,747.0,43,0.48,christopherwarner@example.org
5098,2025-10-03,Micheal Lyons,New York,Credit,Fee,mobile ,Pending,12021.41,10.0,8419.34,535.0,30,0.82,dodsoncathy@example
5099,2025-10-06,Eric Russell,Seattle,CHECKING ,Transfer,Mobile,Failed,,0.0,22474.99,559.0,57,0.22,john75@example.net
5100,2025-10-26,Daniel Walker,Chicago,Credit,payment ,BRANCH,Failed,6707.94,5.0,14636.06,771.0,33,0.2,douglashuynh@example.net
5101,2025-05-16,Sabrina Maldonado,Atlanta,CHECKING ,Deposit,Mobile,Failed,8261.21,0.0,44620.92,600.0,66,0.7,timothyrogers@example.com
5102,11/30/2025,Alex Lambert,Dallas, savings,Fee,ATM,Completed,5549.44,15.0,49159.09,586.0,60,0.85,michelepatel@example.com
